Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
94408,林  海峰,武宫正树,白9目半胜,W,-4,10,16,13
97125,武宫正树,石田芳夫,黑2目半胜,B,2,-5,-8,22
97358,武宫正树,久保秀夫,黑中盘胜,B,4,2,12,26
100062,大渊浩太郎,武宫正树,白中盘胜,W,-3,-1,-7,0
103161,山城  宏,武宫正树,白2目半胜,W,0,12,-1,-2
103249,武宫正树,赵  治勋,白5目半胜,W,-1,-5,-6,4
103276,武宫正树,首藤  瞬,白9目半胜,W,0,-5,-49,14
103285,武宫正树,中岛美绘子,黑中盘胜,B,2,1,-27,6
104240,本木克弥,武宫正树,黑3目半胜,B,4,17,64,13
106502,武宫正树,聂卫平,白中盘胜,W,-6,-4,-7,-10
109574,武宫正树,聂卫平,白6目半胜,W,4,1,-12,-2
109585,武宫正树,金泽  真,黑中盘胜,B,-3,-13,-22,18
130494,武宫正树,小松英子,黑中盘胜,B,0,0,0,10
130503,武宫正树,安田泰敏,黑中盘胜,B,13,10,18,-6
132666,安达利昌,武宫正树,黑10目半胜,B,2,13,9,16
133730,武宫正树,矢代久美子,黑中盘胜,B,0,-10,-8,19
146019,石井邦生,武宫正树,白中盘胜,W,4,2,17,32
147990,平田智也,武宫正树,黑中盘胜,B,0,0,-1,17
150184,武宫正树,寺山怜,白中盘胜,W,1,3,-3,-2
152784,武宫正树,加藤启子,黑中盘胜,B,0,2,-5,9
155263,淡路修三,武宫正树,黑8目半胜,B,0,17,35,-7
157328,三王裕孝,武宫正树,白中盘胜,W,-1,-3,0,-11
163313,武宫正树,马晓春,黑中盘胜,B,1,-7,3,16
172747,矢代久美子,武宫正树,白胜0.5目,W,3,3,28,7
177853,风间隼,武宫正树,白中盘胜,W,-3,-2,-2,-9
179320,林子渊,武宫正树,黑胜1.5目,B,4,16,39,11
184334,潘善琪,武宫正树,黑胜6.5目,B,1,-7,-9,-20
220572,武宫正树,藤村洋辅,黑中盘胜,B,3,-1,-3,10
223077,沼馆沙辉哉,武宫正树,黑胜5.5目,B,8,6,-20,-16
247715,村松龙一,武宫正树,白中盘胜,W,0,0,0,-13
259185,武宫正树,玉井伸,黑中盘胜,B,1,0,0,12
271582,林汉杰,武宫正树,黑胜8.5目,B,8,-1,-4,3
273394,武宫正树,小林光一,黑胜1.5目,B,6,-11,-5,1
275650,武宫正树,安达利昌,白胜0.5目,W,6,-6,-35,9
284533,武宫正树,山城宏,白胜0.5目,W,-7,-2,-10,-19
370940,王立诚,武宫正树,黑胜2.5目,B,0,2,27,15
371711,藤村洋辅,武宫正树,白中盘胜,W,-2,-1,-2,-6
371772,武宫正树,高木祥一,黑胜10.5目,B,-1,11,12,11
371856,武宫正树,刘顺宇,黑中盘胜,B,1,-4,0,7
372182,富士田明彦,武宫正树,白胜2.5目,W,5,14,-17,-24
372332,张豊猷,武宫正树,白中盘胜,W,-4,-2,-5,5
372482,武宫正树,小林觉,黑胜1.5目,B,0,4,20,6
372762,寺山怜,武宫正树,黑胜1.5目,B,4,-11,-40,-12
373072,武宫正树,金子真季,黑中盘胜,B,5,-2,6,-42
373262,武宫正树,大西龙平,黑中盘胜,B,7,0,-3,-30
381107,武宫正树,冈田伸一郎,白胜0.5目,W,8,-1,12,12
391050,武宫正树,山田晋次,白中盘胜,W,-5,-8,-6,-20
397783,三谷哲也,武宫正树,黑中盘胜,B,1,0,-4,-10
414679,张栩,武宫正树,黑胜3.5目,B,2,10,17,16
517257,王立诚,武宫正树,黑胜4.5目,B,4,20,39,18
586371,武宫正树,聂卫平,白超时胜,W,0,0,-1,27
611746,武宫正树,聂卫平,白胜2又1/4子,W,-5,3,1,0
