Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
197,武宫正树,大场惇也,B+0.5,B,0,-10,-11,-11
794,水间俊文,武宫正树,W+R,W,-1,2,-4,-16
975,武宫正树,大桥拓文,B+8.5,B,2,1,-2,32
38023,安田泰敏,武宫正树,W+R,W,2,10,-3,18
38067,中村秀仁,武宫正树,W+1.5,W,3,-2,4,-4
38271,武宫正树,秋山次郎,B+R,B,-3,0,-4,-23
38643,铃木伊佐男,武宫正树,W+R,W,0,8,-3,-9
38858,熊丰,武宫正树,B+R,B,4,-2,3,5
38981,武宫正树,中小野田智己,W+2.5,W,-1,-9,-9,5
39162,武宫正树,后藤俊午,B+R,B,2,1,1,27
39242,武宫正树,山田拓自,W+2.5,W,2,2,-1,-22
39689,武宫正树,邹海石,B+7.5,B,-3,-16,4,5
39738,武宫正树,依田纪基,W+R,W,1,-2,2,31
40382,武宫正树,工藤纪夫,B+R,B,3,4,-1,-7
40506,武宫正树,山田规喜,W+0.5,W,-2,-4,-2,23
40578,武宫正树,郑铭煌,B+2.5,B,0,-6,-8,6
40730,林子渊,武宫正树,B+4.5,B,-2,11,-7,-1
40892,武宫正树,李沂修,B+1.5,B,-2,1,-4,6
40992,武宫正树,苏耀国,B+R,B,7,-10,-11,-9
41170,武宫正树,杉内雅男,B+R,B,1,1,0,-8
41216,武宫正树,高尾绅路,B+3.5,B,-1,-4,-6,-11
41235,堀本满成,武宫正树,W+7.5,W,-2,1,2,17
41514,依田纪基,武宫正树,B+3.5,B,4,5,25,-21
41529,武宫正树,淡路修三,B+R,B,3,15,12,2
47727,武宫正树,王立诚,B+R,B,5,-2,-3,14
47756,武宫正树,大矢浩一,W+2.5,W,-1,-12,-4,7
47808,结城聪,武宫正树,W+1.5,W,6,3,5,40
48017,武宫正树,小山龙吾,B+R,B,1,5,0,12
48114,山下敬吾,武宫正树,B+8.5,B,-2,-5,22,-29
48695,武宫正树,沟上知亲,W+7.5,W,0,4,18,-16
48711,铃木步,武宫正树,B+4.5,B,3,8,10,19
48756,冈田伸一郎,武宫正树,W+R,W,-3,5,-3,1
48897,河野临,武宫正树,W+R,W,-3,-1,-3,-35
49339,马晓春,武宫正树,黑棋超时胜,B,-3,3,-2,8
49753,武宫正树,加藤充志,B+3.5,B,3,7,4,4
49875,石田笃司,武宫正树,白胜3目半,W,4,8,0,4
50170,三村智保,武宫正树,黑胜4目半,B,-2,2,-4,7
50554,武宫正树,柳时熏,W+4.5,W,2,-2,5,-5
50646,山田规三生,武宫正树,白中盘胜,W,1,3,1,2
