Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
65678,宋光复,武宫正树,W+R,W,0,0,-1,-8
66397,森田道博,武宫正树,W+R,W,-1,1,1,-14
66511,汤川光久,武宫正树,W+3.5,W,1,2,2,21
66757,铃木伊佐男,武宫正树,W+R,W,1,1,1,-12
66993,大垣雄作,武宫正树,W+5.5,W,-1,1,0,-8
67064,下坂美织,武宫正树,W+R,W,1,9,0,-10
67376,大场惇也,武宫正树,W+0.5,W,0,6,0,8
67378,仲邑信也,武宫正树,B+R,B,-3,-1,-3,22
67483,武宫正树,河野临,W+R,W,-1,-6,-1,1
67774,武宫正树,依田纪基,W+6.5,W,3,-10,18,12
67944,武宫正树,王立诚,W+13.5,W,-1,-6,-1,-2
68109,武宫正树,鹤山淳志,B+2.5,B,1,-3,-1,-10
68273,星野正树,武宫正树,B+11.5,B,-1,-3,-1,-17
69581,武宫正树,王铭琬,W+R,W,-2,1,-3,-19
72204,青木喜久代,武宫正树,W+R,W,0,5,-1,1
72534,一力辽,武宫正树,B+4.5,B,-1,12,0,21
74864,武宫正树,赵善津,B+R,B,1,-1,-2,-1
75356,向井千瑛,武宫正树,W+R,W,2,3,1,-30
75385,林至涵,武宫正树,黑胜4又3/4子,B,0,4,-1,23
75492,黑嘉嘉,武宫正树,W+R,W,-1,9,0,21
75970,平田智也,武宫正树,B+6.5,B,7,2,5,-6
76633,武宫正树,小林觉,W+4.5,W,0,3,1,-22
78482,曹薰铉,武宫正树,白6又1/4子胜,W,0,6,6,17
78486,常  昊,武宫正树,黑3/4子胜,B,0,-6,1,-6
94408,林  海峰,武宫正树,白9目半胜,W,0,5,0,-1
97125,武宫正树,石田芳夫,黑2目半胜,B,-1,-4,0,4
97358,武宫正树,久保秀夫,黑中盘胜,B,1,2,-1,-7
100062,大渊浩太郎,武宫正树,白中盘胜,W,-3,-1,-7,0
103161,山城  宏,武宫正树,白2目半胜,W,0,12,0,9
103249,武宫正树,赵  治勋,白5目半胜,W,-2,-5,-1,11
103276,武宫正树,首藤  瞬,白9目半胜,W,0,-2,5,21
103285,武宫正树,中岛美绘子,黑中盘胜,B,-2,3,-1,-16
104240,本木克弥,武宫正树,黑3目半胜,B,5,9,16,25
106502,武宫正树,聂卫平,白中盘胜,W,1,-1,1,12
109574,武宫正树,聂卫平,白6目半胜,W,0,1,0,-6
109585,武宫正树,金泽  真,黑中盘胜,B,-2,-9,-22,14
130494,武宫正树,小松英子,黑中盘胜,B,-2,0,-2,-3
130503,武宫正树,安田泰敏,黑中盘胜,B,-1,5,1,-17
132666,安达利昌,武宫正树,黑10目半胜,B,1,7,0,11
133730,武宫正树,矢代久美子,黑中盘胜,B,1,-8,0,23
146019,石井邦生,武宫正树,白中盘胜,W,1,2,10,25
147990,平田智也,武宫正树,黑中盘胜,B,2,-4,2,17
150184,武宫正树,寺山怜,白中盘胜,W,-3,0,-4,-15
152784,武宫正树,加藤启子,黑中盘胜,B,-2,2,-7,-7
155263,淡路修三,武宫正树,黑8目半胜,B,-1,12,0,-10
157328,三王裕孝,武宫正树,白中盘胜,W,-3,-3,-2,-14
163313,武宫正树,马晓春,黑中盘胜,B,0,-7,1,13
172747,矢代久美子,武宫正树,白胜0.5目,W,1,0,4,7
177853,风间隼,武宫正树,白中盘胜,W,-1,-4,-2,-10
179320,林子渊,武宫正树,黑胜1.5目,B,1,12,2,4
184334,潘善琪,武宫正树,黑胜6.5目,B,1,1,1,-10
220572,武宫正树,藤村洋辅,黑中盘胜,B,2,-2,-4,-4
223077,沼馆沙辉哉,武宫正树,黑胜5.5目,B,4,6,3,8
247715,村松龙一,武宫正树,白中盘胜,W,0,0,0,-13
259185,武宫正树,玉井伸,黑中盘胜,B,1,0,0,12
271582,林汉杰,武宫正树,黑胜8.5目,B,3,-1,28,-3
273394,武宫正树,小林光一,黑胜1.5目,B,-1,-10,-3,2
275650,武宫正树,安达利昌,白胜0.5目,W,1,-4,0,-5
284533,武宫正树,山城宏,白胜0.5目,W,-3,-4,-6,-6
370940,王立诚,武宫正树,黑胜2.5目,B,0,4,0,-1
371711,藤村洋辅,武宫正树,白中盘胜,W,-2,-1,-2,-6
371772,武宫正树,高木祥一,黑胜10.5目,B,4,6,6,23
371856,武宫正树,刘顺宇,黑中盘胜,B,1,-4,0,7
372182,富士田明彦,武宫正树,白胜2.5目,W,-1,6,-3,-20
372332,张豊猷,武宫正树,白中盘胜,W,-6,0,-1,-1
372482,武宫正树,小林觉,黑胜1.5目,B,0,5,-2,-15
372762,寺山怜,武宫正树,黑胜1.5目,B,2,-7,2,-23
373072,武宫正树,金子真季,黑中盘胜,B,2,-1,2,-26
373262,武宫正树,大西龙平,黑中盘胜,B,1,1,0,-22
381107,武宫正树,冈田伸一郎,白胜0.5目,W,3,1,0,27
391050,武宫正树,山田晋次,白中盘胜,W,-5,-5,-6,-16
397783,三谷哲也,武宫正树,黑中盘胜,B,2,1,2,4
414679,张栩,武宫正树,黑胜3.5目,B,0,5,-1,10
517257,王立诚,武宫正树,黑胜4.5目,B,0,13,4,31
586371,武宫正树,聂卫平,白超时胜,W,0,0,-1,22
611746,武宫正树,聂卫平,白胜2又1/4子,W,0,-1,-9,-9
635613,武宫正树,王铭琬,黑中盘胜,B,0,-4,1,11
1056623,武宫正树,聂卫平,白胜5又1/4子,W,2,-2,3,1
1098905,武宫正树,林海峰,黑胜3/4子,B,1,-1,-17,12
1098907,芮乃伟,武宫正树,黑胜3又3/4子,B,1,6,3,20
1131526,武宫正树,刘昌赫,白棋超时胜,W,1,4,0,11
1159260,石田芳夫,武宫正树,黑胜4.5目,B,-3,3,-3,-13
65857,李昌镐,李志贤,W+R,W,0,3,-1,2
65909,罗玄,李昌镐,B+1.5,B,4,4,5,8
66076,孔杰,李昌镐,W+R,W,-1,6,1,-10
66094,崔哲瀚,李昌镐,B+R,B,-1,-2,-4,13
66146,李昌镐,谢赫,黑超时胜,B,0,7,-1,9
66372,范廷钰,李昌镐,白超时胜,W,-1,4,-2,-17
66455,李昌镐,金志锡,B+R,B,4,-4,2,2
66549,李昌镐,朴廷桓,B+R,B,1,0,-2,-3
66634,李昌镐,金升宰,W+0.5,W,-1,0,-1,13
66886,李昌镐,朴廷桓,W+R,W,4,2,3,14
67239,朴廷桓,李昌镐,W+R,W,-5,-5,-4,-14
67286,赵汉乘,李昌镐,W+R,W,3,5,1,-15
67346,李昌镐,朴永训,W+R,W,5,-3,6,27
67502,申真谞,李昌镐,B+R,B,3,-2,2,9
67566,李昌镐,李世石,B+R,B,-2,-5,-1,-1
67582,李昌镐,朴永训,W+R,W,1,-1,-6,28
67607,李昌镐,王昊洋,B+R,B,0,-2,0,-8
67770,李泰贤,李昌镐,W+R,W,3,-1,1,7
67800,李昌镐,陈耀烨,W+R,W,-3,-5,-2,6
68028,李世石,李昌镐,W+R,W,2,-1,2,6
68049,罗洗河,李昌镐,W+R,W,3,6,2,6
68071,李昌镐,陶忻,W+R,W,2,6,2,13
68075,李昌镐,陈潇楠,W+R,W,-1,4,0,-7
68099,朱元豪,李昌镐,黑胜3/4子,B,4,0,2,2
68105,汪涛,李昌镐,W+R,W,6,5,4,9
68138,李昌镐,檀啸,B+R,B,-6,-1,-2,-5
68154,李昌镐,古灵益,白胜1/4子,W,0,0,7,8
68204,李昌镐,井山裕太,W+R,W,-5,-4,-6,-5
68239,李昌镐,李志贤,B+R,B,-1,0,-2,-14
68264,申真谞,李昌镐,W+1.5,W,0,-1,1,3
68279,李昌镐,雷震坤,W+R,W,-1,0,1,17
68446,洪性志,李昌镐,B+R,B,-2,4,0,4
68849,赵汉乘,李昌镐,W+R,W,-4,0,-2,-3
68864,白洪淅,李昌镐,B+R,B,2,-4,4,8
68866,李昌镐,李熙星,B+1.5,B,3,6,2,7
69112,卞相壹,李昌镐,B+R,B,2,6,8,-5
69766,姜东润,李昌镐,B+0.5,B,0,-5,-3,-1
70126,李昌镐,金庭贤,W+R,W,-1,5,1,5
70414,尹峻相,李昌镐,W+R,W,-1,-5,-2,-15
70611,李昌镐,李东勋,B+R,B,1,3,1,8
71355,金升宰,李昌镐,W+R,W,1,-2,1,9
71659,姜秉卷,李昌镐,W+1.5,W,1,6,0,0
72418,李昌镐,姜至省,W+R,W,0,-4,2,33
72456,李昌镐,朴永训,W+4.5,W,1,1,1,21
74882,尹俊相,李昌镐,W+R,W,0,-2,0,6
74892,李昌镐,申旻埈,W+R,W,-1,8,-2,-2
75368,陈兆年,李昌镐,W+R,W,0,1,0,11
75439,卞相壹,李昌镐,B+R,B,-2,-10,-2,4
75469,孔杰,李昌镐,B+R,B,-4,-3,-4,4
77620,李昌镐,朴正祥,黑中盘胜,B,1,3,-2,-4
77634,申旻埈,李昌镐,白中盘胜,W,0,4,2,15
78534,李昌镐,安成浚,黑中盘胜,B,7,1,6,30
79122,李昌镐,朴廷桓,黑棋中盘胜,B,1,4,1,0
79378,罗  玄,李昌镐,黑棋中盘胜,B,1,5,-1,1
80243,时  越,李昌镐,黑棋中盘胜,B,0,-2,-1,13
80267,李昌镐,孟泰龄,黑棋超时胜,B,0,4,1,1
80269,李昌镐,朴廷桓,白棋中盘胜,W,0,3,0,16
83866,赵惠连,李昌镐,白棋中盘胜！,W,2,-4,1,20
86776,李世石,李昌镐,黑棋中盘胜！,B,-2,-4,-11,7
86827,廖元赫,李昌镐,黑棋中盘胜！,B,-1,5,-3,5
94334,李昌镐,罗  玄,黑中盘胜,B,1,-2,1,12
97370,金志锡,李昌镐,黑中盘胜,B,4,5,3,-6
97376,李昌镐,白洪淅,白1目半胜,W,1,-2,-2,18
97382,朴廷桓,李昌镐,黑中盘胜,B,-2,-8,-9,-12
97383,姜昇旼,李昌镐,白中盘胜,W,-2,3,-2,26
100021,朴永训,李昌镐,白中盘胜,W,1,1,3,-6
100083,李昌镐,金主镐,白2目半胜,W,3,0,0,1
100135,林君谚,李昌镐,黑中盘胜,B,0,-8,3,16
100194,李昌镐,安祚永,黑中盘胜,B,5,9,4,3
100259,朴进率,李昌镐,白中盘胜,W,-1,3,-2,-7
103336,李泰贤,李昌镐,黑中盘胜,B,1,3,0,-16
103438,李昌镐,宋泰坤,白中盘胜,W,-1,0,-2,-9
103494,李昌镐,韩态熙,白中盘胜,W,1,-2,0,5
104280,李东勋,李昌镐,黑中盘胜,B,1,-1,-1,19
106466,李昌镐,常  昊,黑半目胜,B,0,-3,-3,9
106538,李志贤,李昌镐,白中盘胜,W,3,-4,3,29
109582,李昌镐,白洪淅,黑中盘胜,B,3,1,3,-7
109680,朴进率,李昌镐,白中盘胜,W,1,-3,1,3
113739,金东昊,李昌镐,白中盘胜,W,0,0,-1,-6
113775,李昌镐,林君谚,黑中盘胜,B,-3,4,-5,-11
113823,唐韦星,李昌镐,黑1.5目胜,B,2,3,3,37
130521,李昌镐,朴正祥,黑中盘胜,B,1,-2,-1,15
132250,刘昌赫,李昌镐,黑中盘胜,B,-2,-2,-1,-3
133381,李昌镐,曹薰铉,黑8目半胜,B,1,0,0,-4
